0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:39 -0500] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:39 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:39 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:39 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.woff2 HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:39 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:39 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.woff HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:39 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:40 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-600.woff2 HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:40 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.ttf HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:40 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.ttf HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:40 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.ttf HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:40 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-600.woff HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:40 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-600.ttf HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:57:28 -0500] "POST /signup/Login HTTP/1.1" 200 2786
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:57:28 -0500] "GET /signup/assets/img/dietHelper.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:57:28 -0500] "GET /signup/css/index-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:57:28 -0500] "GET /signup/js/scripts.js HTTP/1.1" 304 -
